Sample_PD_ID	tube_barcode_identifier	IRCC_full	IRCC_CASE_ID	Specimen type
PD25847a2	FR03479891	CRC0268PRX	CRC0268PR	Xenograft from primary CRC 
PD25848a	FR03483285	CRC0265LMX	CRC0265LM	Xenograft from CRC metastasis
PD25849a	FR03483681	CRC0290PRH	CRC0290PR	Original primary CRC 
PD25849c	FR03484050	CRC0290PRX	CRC0290PR	Xenograft from primary CRC 
PD25850a	FR03483274	CRC0267PRX	CRC0267PR	Xenograft from primary CRC 
PD25851a	FR03484026	CRC0272PRX	CRC0272PR	Xenograft from primary CRC 
PD25852a	FR03484034	CRC0281PRX	CRC0281PR	Xenograft from primary CRC 
PD25853a	FR03483620	CRC0311PRH	CRC0311PR	Original primary CRC 
PD25853c	FR03483988	CRC0311PRX	CRC0311PR	Xenograft from CRC metastasis
PD25854a	FR03483979	CRC0317PRX	CRC0317PR	Xenograft from primary CRC 
PD25855a	FR03483986	CRC0318LMX	CRC0318LM	Xenograft from CRC metastasis
PD25856a	FR03483987	CRC0320PRX	CRC0320PR	Xenograft from primary CRC 
PD25857a	FR03484004	CRC0324LMX	CRC0324LM	Xenograft from CRC metastasis
PD25858a	FR03483971	CRC0315PRX	CRC0315PR	Xenograft from primary CRC 
PD25859a	FR03483995	CRC0336PRX	CRC0336PR	Xenograft from primary CRC 
PD25860a	FR03483990	CRC0333LMX	CRC0333LM	Xenograft from CRC metastasis
PD25860c	FR03484036	CRC0333PRX	CRC0333PR	Xenograft from primary CRC 
PD25861a	FR03483999	CRC0332LMX	CRC0332LM	Xenograft from CRC metastasis
PD25862a	FR03484060	CRC0340PRX	CRC0340PR	Xenograft from primary CRC 
PD25863a	FR03484053	CRC0343LMX	CRC0343LM	Xenograft from CRC metastasis
PD25864a	FR03484029	CRC0395PRX	CRC0395PR	Xenograft from primary CRC 
PD25865a	FR03483997	CRC0384PRX	CRC0384PR	Xenograft from primary CRC 
PD25866a	FR03484043	CRC0263PRX	CRC0263PR	Xenograft from primary CRC 
PD25867a	FR03483211	CRC0019LMX	CRC0019LM	Xenograft from CRC metastasis
PD25869a	FR03482976	CRC0123LMX	CRC0123LM	Xenograft from CRC metastasis
PD25870a	FR03483272	CRC0202LMX	CRC0202LM	Xenograft from CRC metastasis
PD25871a	FR03483639	CRC0086LMH	CRC0086LM	Original CRC metastasis
PD25871c	FR03483626	CRC0086LMX	CRC0086LM	Xenograft from CRC metastasis
PD25872a	FR03482945	CRC0014LMX	CRC0014LM	Xenograft from CRC metastasis
PD25873a2	FR03480645	CRC0022LMX	CRC0022LM	Xenograft from CRC metastasis
PD25874a	FR03484019	CRC0109LMX	CRC0109LM	Xenograft from CRC metastasis
PD25875a	FR03483655	CRC0062LMH	CRC0062LM	Original CRC metastasis
PD25875c	FR03483586	CRC0062LMX	CRC0062LM	Xenograft from CRC metastasis
PD25876a	FR03483258	CRC0256PRX	CRC0256PR	Xenograft from primary CRC 
PD25877a2	FR03479884	CRC0140LMX	CRC0140LM	Xenograft from CRC metastasis
PD25878a	FR03483287	CRC0179LMX	CRC0179LM	Xenograft from CRC metastasis
PD25879a	FR03484035	CRC0219LMX	CRC0219LM	Xenograft from CRC metastasis
PD25880a	FR03483229	CRC0118LMX	CRC0118LM	Xenograft from CRC metastasis
PD25881a	FR03482953	CRC0017LMX	CRC0017LM	Xenograft from CRC metastasis
PD25882a	FR03483009	CRC0061LMX	CRC0061LM	Xenograft from CRC metastasis
PD25883a	FR03483236	CRC0095LMX	CRC0095LM	Xenograft from CRC metastasis
PD25884a	FR03482969	CRC0028LMX	CRC0028LM	Xenograft from CRC metastasis
PD25885a	FR03483255	CRC0170LMX	CRC0170LM	Xenograft from CRC metastasis
PD25886a	FR03483232	CRC0187LMX	CRC0187LM	Xenograft from CRC metastasis
